time,inst,cpy cycles,misses,pages,switches,bus,pref
102,7,2,2282,0,0,0,150
102,7,2,2274,0,0,0,158
102,7,2,2274,0,0,0,149
102,7,2,2287,0,0,0,154
102,7,2,2284,0,0,0,151
102,7,2,2304,0,0,0,157
102,7,2,2232,0,0,0,155
102,7,2,2233,0,0,0,138
102,7,2,2252,0,0,0,143
102,7,2,2289,0,0,0,158
102,7,2,2271,0,0,0,151
102,7,2,2250,0,0,0,151
102,7,2,2239,0,0,0,146
102,7,2,2274,0,0,0,157
102,7,2,2224,0,0,0,145
102,7,2,2245,0,0,0,137
102,7,2,2112,0,0,0,147
102,7,2,2284,0,0,0,165
102,7,2,2242,0,0,0,143
101,7,2,2203,0,0,0,139
101,7,2,2084,0,0,0,147
101,7,2,2227,0,0,0,143
101,7,3,2644,0,0,0,177
101,7,3,2716,0,0,0,194
101,7,2,2215,0,0,0,143
101,7,2,2225,0,0,0,142
101,7,2,2211,0,0,0,138
101,7,2,2260,0,0,0,140
101,7,2,2216,0,0,0,147
101,7,2,2213,0,0,0,136
101,7,2,2297,0,0,0,146
101,7,2,2270,0,0,0,154
101,7,2,2132,0,0,0,138
101,7,2,2288,0,0,0,145
101,7,2,2280,0,0,0,144
101,7,2,2271,0,0,0,138
101,7,2,2306,0,0,0,167
101,7,2,2262,0,0,0,160
101,7,2,2304,0,0,0,166
101,7,2,2144,0,0,0,157
101,7,2,2291,0,0,0,153
101,7,2,2105,0,0,0,143
101,7,2,2274,0,0,0,152
101,7,2,2248,0,0,0,138
101,7,2,2280,0,0,0,152
101,7,2,2282,0,0,0,161
101,7,2,2127,0,0,0,149
101,7,2,2279,0,0,0,145
101,7,2,2294,0,0,0,157
101,7,2,2248,0,0,0,161
101,7,2,2273,0,0,0,138
101,7,2,2297,0,0,0,173
101,7,2,2311,0,0,0,150
101,7,2,2314,0,0,0,159
101,7,2,2265,0,0,0,148
100,7,2,2225,0,0,0,143
100,7,2,2227,0,0,0,137
100,7,2,2235,0,0,0,157
100,7,2,2221,0,0,0,149
100,7,4,4797,0,0,0,168
100,7,2,2217,0,0,0,146
100,7,2,2115,0,0,0,155
100,7,2,2260,0,0,0,167
100,7,2,2232,0,0,0,136
100,7,3,2871,0,0,0,184
100,7,2,2246,0,0,0,158
100,7,2,2089,0,0,0,144
100,7,2,2249,0,0,0,141
100,7,2,2235,0,0,0,157
100,7,2,2295,0,0,0,163
100,7,2,2223,0,0,0,144
100,7,2,2227,0,0,0,152
100,7,2,2094,0,0,0,139
100,7,2,2243,0,0,0,153
100,7,2,2203,0,0,0,134
100,7,2,2299,0,0,0,161
100,7,2,2207,0,0,0,138
100,7,2,2208,0,0,0,145
100,7,2,2116,0,0,0,156
100,7,2,2278,0,0,0,147
100,7,2,2298,0,0,0,160
100,7,2,2265,0,0,0,158
100,7,2,2262,0,0,0,141
100,7,2,2306,0,0,0,141
100,7,2,2283,0,0,0,147
100,7,2,2265,0,0,0,149
100,7,2,2276,0,0,0,147
100,7,2,2117,0,0,0,154
100,7,2,2266,0,0,0,164
100,7,2,2269,0,0,0,157
100,7,2,2249,0,0,0,140
100,7,2,2296,0,0,0,150
100,7,2,2091,0,0,0,145
100,7,2,2260,0,0,0,158
100,7,2,2097,0,0,0,144
100,7,2,2123,0,0,0,144
100,7,2,2238,0,0,0,144
100,7,2,2117,0,0,0,152
100,7,2,2259,0,0,0,142
100,7,2,2284,0,0,0,157
100,7,2,2239,0,0,0,142
100,7,2,2109,0,0,0,145
100,7,2,2245,0,0,0,151
100,7,2,2243,0,0,0,145
100,7,2,2129,0,0,0,155
100,7,2,2245,0,0,0,146
100,7,2,2289,0,0,0,175
100,7,2,2303,0,0,0,163
100,7,2,2297,0,0,0,172
100,7,2,2116,0,0,0,147
100,7,2,2154,0,0,0,158
100,7,2,2263,0,0,0,161
99,7,2,2286,0,0,0,146
99,7,2,2248,0,0,0,146
99,7,2,2110,0,0,0,154
99,7,2,2264,0,0,0,142
99,7,2,2237,0,0,0,147
99,7,3,2674,0,0,0,182
99,7,2,2303,0,0,0,173
99,7,2,2253,0,0,0,160
99,7,2,2229,0,0,0,142
99,7,2,2239,0,0,0,160
99,7,2,2243,0,0,0,155
99,7,2,2206,0,0,0,139
99,7,2,2210,0,0,0,142
99,7,2,2220,0,0,0,157
99,7,2,2232,0,0,0,150
99,7,2,2255,0,0,0,171
99,7,2,2236,0,0,0,149
99,7,2,2269,0,0,0,155
99,7,2,2194,0,0,0,155
99,7,2,2250,0,0,0,154
99,7,2,2221,0,0,0,146
99,7,2,2276,0,0,0,155
99,7,2,2217,0,0,0,139
99,7,2,2357,0,0,0,156
99,7,2,2222,0,0,0,152
99,7,2,2224,0,0,0,159
99,7,2,2183,0,0,0,176
99,7,2,2254,0,0,0,148
99,7,2,2056,0,0,0,139
99,7,2,2133,0,0,0,155
99,7,2,2285,0,0,0,145
99,7,2,2282,0,0,0,145
99,7,2,2295,0,0,0,145
99,7,2,2289,0,0,0,172
99,7,2,2289,0,0,0,147
99,7,2,2257,0,0,0,139
99,7,3,3644,0,0,0,158
99,7,2,2293,0,0,0,165
99,7,2,2136,0,0,0,145
99,7,2,2277,0,0,0,140
